นิวยอร์ก	new-yɔ̂ɔk
ก้านใบ	kâan-bay
การบัญญัติศัพท์	kaan-ban-yàt-sàp
การบัญญัติ	kaan-ban-yàt
การบรรยาย	kaan-ban-yaay
การบรรทุก	kaan-ban-thúk
การบันทึกเสียง	kaan-ban-thʉ́k-sǐang
การบันทึกภาพ	kaan-ban-thʉ́k-phâap
การบรรลุผล	kaan-ban-lú-phǒn
การบรรลุเป้าหมาย	kaan-ban-lú-pâw-mǎay
การบรรเลง	kaan-ban-leeng
การบังคับใช้	kaan-bang-kháp-cháy
การบรรจุหีบห่อ	kaan-ban-cù-hìip-hɔ̀ɔ
การบัญชี	kaan-ban-chii
การบำบัด	kaan-bam-bàt
การบ้านการเรือน	kaan-bâan-kaan-rʉan
การบ้านการเมือง	kaan-bâan-kaan-mʉang
การบ้าน	kaan-bâan
การเอาอย่าง	kaan-aw-yàang
การเอาตัวรอด	kaan-aw-tua-rɔ̂ɔt
การเอารัดเอาเปรียบ	kaan-aw-rát-aw-prìap
การเอาเปรียบ	kaan-aw-prìap
การอธิบาย	kaan-a-thí-baay
การอภัย	kaan-a-phay
การอนุญาต	kaan-a-nú-yâat
การอนุรักษ์	kaan-a-nú-rák
การอนุมัติ	kaan-a-nú-mát
การอำนวยพร	kaan-am-nuay-phɔɔn
การอำนวยความสะดวก	kaan-am-nuay-khwaam-sà-dùak
การอำลา	kaan-am-laa
การอาศัย	kaan-aa-sǎy
การอาบน้ำ	kaan-àap-náam
กาน้ำ	kaa-náam
ก้าน	kâan
การ	kaan
กาล	kaan
กาฬ	kaan
กาน	kaan
การณ์	kaan
กามวิตถาร	kaam-wít-thǎan
กามวิตก	kaam-wí-tòk
กามตายด้าน	kaam-taay-dâan
กามสมังคี	kaam-sa-mang-khii
กามราคะ	kaam-raa-khá
ก้ามปู	kâam-puu
กามเทพ	kaam-ma-thêep
กามตัณหา	kaam-ma-tan-hǎa
กามโรค	kaam-ma-rôok
กามภพ	kaam-ma-phóp
กามกิจ	kaam-ma-kìt
กามคุณ	kaam-ma-khun
กามฉันท์	kaam-ma-chǎn
กามกรีฑา	kaam-krii-thaa
ก้ามกราม	kâam-kraam
กามิศ	kaa-mít
กาเมสุมิจฉาจาร	kaa-mee-sù-mít-chǎa-caan
ก้ามดาบ	kâam-dàap
กามาวจร	kaa-maa-wa-cɔɔn
กามารมณ์	kaa-maa-rom
กามาพจร	kaa-maa-pha-cɔɔn
กามามิศ	kaa-maa-mít
กามา	kaa-maa
ก้าม	kâam
กาม	kaam
กาลี	kaa-lii
กาแล็กโทส	kaa-lɛ́k-thóot
กาแล็กซี	kaa-lɛ́k-sîi
กาไหล่	kaa-lày
กาลเทศะ	kaa-lá-thee-sà
กาฬสินธุ์	kaa-la-sǐn
กาฬปักษี	kaa-la-pàk-sǐi
กาลักน้ำ	kaa-lák-náam
กาลกิณี	kaa-la-kì-nii
กากรุน	kàak-run
กากเพชร	kàak-phét
กากนิวเคลียร์	kàak-niw-khlia
กากน้ำตาล	kàak-náam-taan
กากหมู	kàak-mǔu
กากขยาก	kàak-kha-yàak
กากคติ	kàak-kha-tì
กากข้าว	kàak-khâaw
กากกะรุน	kàak-kà-run
กากี่นั้ง	kaa-kìi-náng
กากีแกมเขียว	kaa-kii-kɛɛm-khǐaw
กากี	kaa-kii
กากเดน	kàak-deen
กากะเยีย	kaa-kà-yia
กากะทิง	kaa-kà-thing
ก๋ากั่น	kǎa-kàn
กากบาท	kaa-ka-bàat
กาก	kàak
กาฮัง	kaa-hang
กาแฟเย็น	kaa-fɛɛ-yen
กาแฟร้อน	kaa-fɛɛ-rɔ́ɔn
กาเฟอีน	kaa-fee-iin
กาแฟ	kaa-fɛɛ
กาฟักไข่	kaa-fák-khày
กาฝาก	kaa-fàak
กาชาด	kaa-châat
กาจับหลัก	kaa-càp-làk
กาบู	kaa-buu
กา	kaa
กะ	kà
เกื้อ	kʉ̂a
อึก	ʉ̀k
อิตเทรียม	ìt-thrîam
อิทธิฤทธิ์	ìt-thí-rít
อิทธิพล	ìt-thí-phon
อิตถีลิงค์	ìt-thǐi-ling
อิตถี	ìt-thǐi
อิทธิบาท	ìt-thí-bàat
อิทธิ	ìt-thí
อิตเทอร์เบียม	ít-thəə-bîam
อิฏฐารมณ์	ìt-thǎa-rom
อิสริยาภรณ์	ìt-sa-rí-yaa-phɔɔn
อิสรภาพ	ìt-sa-ra-phâap
อิสระ	ìt-sà-rà
อิดโรย	ìt-rooy
อิดออด	ìt-ɔ̀ɔt
อิดหนาระอาใจ	ìt-nǎa-rá-aa-cay
อิดๆ ออดๆ	ìt-ìt-ɔ̀ɔt-ɔ̀ɔt
อิดๆ เอื้อนๆ	ìt-ìt-ʉ̂an-ʉ̂an
อิจฉาตาร้อน	ìt-chǎa-taa-rɔ́ɔn
อิจฉาริษยา	ìt-chǎa-rít-sa-yǎa
อิจฉา	ìt-chǎa
อิดเอื้อน	ìt-ʉ̂an
อิตาลี	ì-taa-lii
อิตาเลียน	ì-taa-lîan
อิด	ìt
อิฐ	ìt
อิส	ìt
อิสิ	ì-sì
อิสตรี	ì-sàt-trii
อิริยาบถ	ì-rí-yaa-bòt
อิริยา	ì-rí-yaa
อิริเดียม	ì-rí-diam
อิหร่าน	ì-ràan
อิออน	ì-ɔɔn
อินทราภิเษก	in-thraa-phí-sèek
อินเทอร์เน็ต	in-thəə-nét
อินทรายุธ	in-tha-raa-yút
อินทผลัม	in-tha-phǎa-lam
อินทรธนู	in-tha-nuu
อินเตอร์เนชั่นแนล	in-təə-nee-chân-nɛɛn
อินซูลิน	in-suu-lin
อินทรียวัตถุ	in-sii-ya-wát-thù
อินทรีย์	in-sii
อินพุตเอาต์พุต	in-phút-áw-phút
อิงประวัติศาสตร์	ing-prà-wàt-tì-sàat
อิงอร	ing-ɔɔn
อิงแอบ	ing-ɛ̀ɛp
อิง	ing
อิงค์	ing
อินฟราเรด	in-fraa-rèet
อินโดนีเซีย	in-doo-nii-sia
อินเดียม	in-diam
อินเดีย	in-dia
อินังขังขอบ	ì-nang-khǎng-khɔ̀ɔp
อินัง	ì-nang
อินท์	in
อิ่มตัว	ìm-tua
อิมพัลซ์	im-phan
อิ่มอกอิ่มใจ	ìm-òk-ìm-cay
อิ่มหนำสำราญ	ìm-nǎm-sǎm-raan
อิ่มหนำ	ìm-nǎm
อิ่มหมีพีมัน	ìm-mǐi-phii-man
อิ่มๆ	ìm-ìm
อิ่มเอิบใจ	ìm-ə̀əp-cay
อิ่มเอิบ	ìm-ə̀əp
อิ่มเอม	ìm-eem
อิ่มใจ	ìm-cay
อิมัลชัน	ì-man-chan
อิหม่าม	ì-màam
อิ่ม	ìm
อิเล็กตรอน	ì-lék-trɔn
อิเล็กทรอนิกส์	ì-lék-thrɔɔ-nìk
อิเล็กโทน	ì-lék-thoon
อิหลักอิเหลื่อ	ì-làk-ì-lʉ̀a
อียู	ii-yuu
อีตัว	ii-tua
อีโต้	ii-tôo
อีเทอร์	ii-thəə
อีเต้อ	ii-tə̂ə
อีสุกอีใส	ii-sùk-ii-sǎy
อีสป	ii-sòp
อีซี	ii-sii
อีแซว	ii-sɛɛw
อีสาน	ii-sǎan
อีรุงตุงนัง	ii-rung-tung-nang
อีเป้า	ii-pâw
อี๋อ๋อ	ǐi-ɔ̌ɔ
อีหนู	ii-nǔu
อีนุงตุงนัง	ii-nung-tung-nang
อีโหน่อีเหน่	ii-nòo-ii-hèe
อีหลุยฉุยแฉก	ii-lǔy-chǔy-chɛ̀ɛk
อีลุ่ยฉุยแฉก	ii-lûy-chǔy-chɛ̀ɛk
อีหลุกขลุกขลุ่ย	ii-lùk-khlùk-khlùy
อีหลุกขลุกขลัก	ii-lùk-khlùk-khlàk
อีเหละเขะขะ	ii-lè-khè-khà
อีหลักอีเหลื่อ	ii-làk-ii-lʉ̀ʉ
อีกที	ìik-thii
อีกสักครู่	ìik-sàk-khrûu
อีก๋อย	ii-kɔ̌y
อีก้อ	ii-kɔ̂ɔ
อีกหน่อย	ìik-nɔ̀y
อีกนัยหนึ่ง	ìik-nay-nʉ̀ng
อีกไม่นาน	ìik-mây-naan
อีกไม่ช้า	ìik-mây-cháa
อีกแล้ว	ìik-lɛ́ɛw
อี-คอมเมิร์ช	ii-khɔm-mə́ət
อีคิว	ii-khiw
อีเก้ง	ii-kêeng
อีเก้อีกัง	ii-kêe-ii-kang
อีแก่	ii-kɛ̀ɛ
อีกด้วย	ìik-dûay
อีกา	ii-kaa
อีก	ìik
อีเห็น	ii-hěn
อีเอ็มเอส	ii-em-éet
อีดำอีแดง	ii-dam-ii-dɛɛng
อีจู้	ii-cûu
อีฉุยอีแฉก	ii-chǔy-ii-chɛ̀ɛk
อี๋	ǐi
อี๊	íi
อี	ii
อิฉัน	ì-chǎn
เอี้ยว	îaw
เอี่ยว	ìaw
เอียด	ìat
เอียงหู	iang-hǔu
เอียงเอน	iang-een
เอียงอาย	iang-aay
เอียง	iang
เอียน	ian
เอี่ยมอ่อง	ìam-ɔ̀ng
เอี่ยม	ìam
เอี๊ยม	íam
ฮึย	hʉy
ฮุยเลฮุย	huy-lee-huy
หูไวตาไว	hǔu-way-taa-way
หูไว	hǔu-way
หูตูบ	hǔu-tùup
หูตึง	hǔu-tʉng
หูทวนลม	hǔu-thuan-lom
หูโทรศัพท์	hǔu-thoo-ra-sàp
หูตาสว่าง	hǔu-taa-sa-wàang
หูด	hùut
หูรูด	hǔu-rûut
หูผึ่ง	hǔu-phʉ̀ng
หูป่าตาเถื่อน	hǔu-pàa-taa-thʉ̀an
หูหนวก	hǔu-nùak
หูหนาตาเล่อ	hǔu-nǎa-taa-lə̂ə
หูน้ำหนวก	hǔu-náam-nùak
หูกวาง	hǔu-kwaang
หูกระต่าย	hǔu-krà-tàay
ฮูก	hûuk
หูก	hùuk
หูหิ้ว	hǔu-hîw
หูฟัง	hǔu-fang
หูดับตับไหม้	hǔu-dàp-tàp-mây
หูฉี่	hǔu-chìi
หูฉลาม	hǔu-cha-lǎam
หูช้าง	hǔu-cháang
หูเบา	hǔu-baw
หูอื้อ	hǔu-ʉ̂ʉ
หู	hǔu
ฮู	huu
ฮุด	hút
หุบปาก	hùp-pàak
หุบเขา	hùp-khǎw
หุบเหว	hùp-hěew
หุบ	hùp
ฮุบ	húp
หุ่นยนต์	hùn-yon
หุ้นส่วน	hûn-sùan
หุ่นพยนต์	hùn-pha-yon
หุ่นไล่กา	hùn-lây-kaa
หุ้นกู้	hûn-kûu
หุ่นกระบอก	hùn-krà-bɔ̀ɔk
หุนหันพลันแล่น	hǔn-hǎn-phlan-lɛ̂n
หุนหัน	hǔn-hǎn
หุงต้ม	hǔng-tôm
หุงข้าว	hǔng-khâaw
หุงหาอาหาร	hǔng-hǎa-aa-hǎan
หุงเช็ดน้ำ	hǔng-chét-náam
หุง	hǔng
หุ่นโชว์	hùn-choo
หุ่นเชิด	hùn-chə̂ət
หุ่นจำลอง	hùn-cam-lɔɔng
หุ้นบุริมสิทธิ	hûn-bù-rim-ma-sìt
หุน	hǔn
หุ้น	hûn
หุ่น	hùn
หุ้มแพร	hûm-phrɛɛ
หุ้มกลอง	hûm-klɔɔng
หุ้ม	hûm
หวยเถื่อน	hǔay-thʉ̀an
ห่วยแตก	hùay-tɛ̀ɛk
หวยใต้ดิน	hǔay-tâay-din
ห้วยหนอง	hûay-nɔ̌ɔng
หวยเบอร์	hǔay-bəə
หวย	hǔay
ห้วย	hûay
ห่วย	hùay
หัวแหวน	hǔa-wɛ̌ɛn
หัวไว	hǔa-way
หัวต่อ	hǔa-tɔ̀ɔ
หัวตอ	hǔa-tɔɔ
หัวทึบ	hǔa-thʉ́p
หัวเทียน	hǔa-thian
หัวแถว	hǔa-thɛ̌ɛw
หัวถนน	hǔa-tha-nǒn
หัวตะกั่ว	hǔa-tà-kùa
หวด	hùat
หัวสูง	hǔa-sǔung
หัวซุน	hǔa-sun
หัวซุกหัวซุน	hǔa-súk-hǔa-sun
หัวเสีย	hǔa-sǐa
หัวใส	hǔa-sǎy
หัวไส้	hǔa-sây
หัวสะพาน	hǔa-sà-phaan
หัวรุนแรง	hǔa-run-rɛɛng
หัวเราะเยาะ	hǔa-rɔ́-yɔ́
หัวเราะต่อกระซิก	hǔa-rɔ́-tɔ̀ɔ-krà-sík
หัวรถจักร	hǔa-rót-càk
หัวรถ	hǔa-rót
หัวร่อต่อกระซิก	hǔa-rɔ̂ɔ-tɔ̀ɔ-krà-sík
หัวร่อ	hǔa-rɔ̂ɔ
หัวรอ	hǔa-rɔɔ
หัวเราะ	hǔa-rɔ́
หัวเรี่ยวหัวแรง	hǔa-rîaw-hǔa-rɛɛng
หัวแร้ง	hǔa-rɛ́ɛng
หัวแรง	hǔa-rɛɛng
หัวเรือใหญ่	hǔa-rʉa-yày
หัวเรื่องย่อย	hǔa-rʉ̂ang-yɔ̂y
หัวเรื่อง	hǔa-rʉ̂ang
หัวรั้น	hǔa-rán
หัวระแหง	hǔa-rá-hɛ̌ɛng
หัวราน้ำ	hǔa-raa-náam
หัวปลวก	hǔa-plùak
หัวปลี	hǔa-plii
หัวปี	hǔa-pii
หัวผักกาด	hǔa-phàk-kàat
ฮวบฮาบ	hûap-hâap
หัวปั่น	hǔa-pàn
หัวปักหัวปำ	hǔa-pàk-hǔa-pam
หัวป่า	hǔa-pàa
หัวป่าก์	hǔa-pàa
ฮวบ	hûap
หัวอ่อน	hǔa-ɔ̀ɔn
หัวอกหัวใจ	hǔa-òk-hǔa-cay
หัวอก	hǔa-òk
หัวนอนปลายตีน	hǔa-nɔɔn-plaay-tiin
หัวนม	hǔa-nom
หวนนึก	hǔan-nʉ́k
ฮ้วนหมู	hûan-mǔu
หวนกลับ	hǔan-klàp
หวนคืน	hǔan-khʉʉn
หวนคิด	hǔan-khít
ห้วนๆ	hûan-hûan
ห่วงใย	hùang-yay
ห้วงเวลา	hûang-wee-laa
หวงตัว	hǔang-tua
ห้วงทุกข์	hûang-thúk
ฮวงซุ้ย	huang-súy
หัวหงอก	hǔa-ngɔ̀ɔk
ห้วงนึก	hûang-nʉ́k
ห่วงหน้าพะวงหลัง	hùang-nâa-phá-wong-lǎng
ห้วงน้ำ	hûang-náam
ห่วงหน้าห่วงหลัง	hùang-nâa-hùang-lǎng
หวงก้าง	hǔang-kâang
หวงแหน	hǔang-hɛ̌ɛn
หวงห้าม	hǔang-hâam
ห่วงหาอาทร	hùang-hǎa-aa-thɔɔn
ฮวงจุ้ย	huang-cúy
หัวเงื่อน	hǔa-ngʉ̂an
หัวงาน	hǔa-ngaan
หวง	hǔang
ห้วง	hûang
ห่วง	hùang
หัวหน้าวง	hǔa-nâa-wong
หัวหน่าว	hǔa-nàaw
หัวหน้าทัวร์	hǔa-nâa-thua
หัวหน้าศูนย์	hǔa-nâa-sǔun
หัวหน้าส่วน	hǔa-nâa-sùan
หัวหน้าแผนก	hǔa-nâa-pha-nɛ̀ɛk
หัวหน้าพรรค	hǔa-nâa-phák
หัวหน้างาน	hǔa-nâa-ngaan
หัวน้ำลง	hǔa-náam-long
หัวน้ำขึ้น	hǔa-náam-khʉ̂n
หัวน้ำ	hǔa-náam
หัวหน้ากลุ่ม	hǔa-nâa-klùm
หัวหน้าครอบครัว	hǔa-nâa-khrɔ̂ɔp-khrua
หัวหน้าคนงาน	hǔa-nâa-khon-ngaan
หัวหน้าคณะสงฆ์	hǔa-nâa-khá-ná-sǒng
หัวหน้าฝูง	hǔa-nâa-fǔung
หัวหน้า	hǔa-nâa
หวน	hǔan
ห้วน	hûan
ฮวน	huan
หัวหมู	hǔa-mǔu
หัวหมุน	hǔa-mǔn
หัวมุมถนน	hǔa-mum-tha-nǒn
หัวมุม	hǔa-mum
หัวหมอ	hǔa-mɔ̌ɔ
หัวเม็ด	hǔa-mét
หัวแม่ตีน	hǔa-mɛ̂ɛ-tiin
หัวแม่เท้า	hǔa-mɛ̂ɛ-tháaw
หัวแม่มือ	hǔa-mɛ̂ɛ-mʉʉ
หัวเมือง	hǔa-mʉang
หัวไม้	hǔa-máay
หัวลูกศร	hǔa-lûuk-sɔ̌ɔn
หัวโล้น	hǔa-lóon
หัวลม	hǔa-lom
หัวเลี้ยวหัวต่อ	hǔa-líaw-hǔa-tɔ̀ɔ
หัวเลี้ยว	hǔa-líaw
หัวแหลม	hǔa-lɛ̌ɛm
หัวไหล่	hǔa-lày
หัวหลักหัวตอ	hǔa-làk-hǔa-tɔɔ
หัวล้าน	hǔa-láan
หัวกระสุน	hǔa-krà-sǔn
หัวคุ้ง	hǔa-khúng
หัวขั้ว	hǔa-khûa
หัวข้อย่อย	hǔa-khɔ̂ɔ-yɔ̂y
หัวข้อเรื่อง	hǔa-khɔ̂ɔ-rʉ̂ang
หัวโค้ง	hǔa-khóong
หัวข้อ	hǔa-khɔ̂ɔ
หัวโขน	hǔa-khǒon
หัวคิว	hǔa-khiw
หัวคิด	hǔa-khít
หัวแข็ง	hǔa-khɛ̌ng
หัวเข็มขัด	hǔa-khěm-khàt
หัวเข็ม	hǔa-khěm
หัวเข่า	hǔa-khàw
หัวคะแนน	hǔa-khá-nɛɛn
หัวขโมย	hǔa-kha-mooy
หัวค่ำ	hǔa-khâm
หัวข่าวย่อย	hǔa-khàaw-yɔ̂y
หัวข่าว	hǔa-khàaw
หัวขาด	hǔa-khàat
หัวแก้วหัวแหวน	hǔa-kɛ̂ɛw-hǔa-wɛ̌ɛn
หัวเก่า	hǔa-kàw
หัวกะทิ	hǔa-kà-thí
หัวกะโหลก	hǔa-kà-lòok
หัวก้าวหน้า	hǔa-kâaw-nâa
หัวหด	hǔa-hòt
หัวหอม	hǔa-hɔ̌ɔm
หัวหอก	hǔa-hɔ̀ɔk
หัวเห็ด	hǔa-hèt
หัวหาด	hǔa-hàat
หัวดี	hǔa-dii
หัวเดียวกระเทียมลีบ	hǔa-diaw-krà-thiam-lîip
หัวเด็ดตีนขาด	hǔa-dèt-tiin-khàat
หัวดื้อ	hǔa-dʉ̂ʉ
หัวจุก	hǔa-cùk
หัวโจก	hǔa-còok
หัวชนฝา	hǔa-chon-fǎa
หัวฉีดน้ำ	hǔa-chìit-náam
หัวไชเท้า	hǔa-chay-tháaw
หัวเชื้อ	hǔa-chʉ́a
หัวใจวาย	hǔa-cay-waay
หัวใจสำคัญ	hǔa-cay-sǎm-khan
หัวใจ	hǔa-cay
หัวโบราณ	hǔa-boo-raan
หัวเบี้ย	hǔa-bîa
หัวบันทึก	hǔa-ban-thʉ́k
หัวบันได	hǔa-ban-day
หัว	hǔa
ฮั้ว	hûa
หืดหอบ	hʉ̀ʉt-hɔ̀ɔp
ฮึดฮัด	hʉ́t-hát
หืด	hʉ̀ʉt
ฮึด	hʉ́t
ห้อยท้าย	hɔ̂y-tháay
โหยหวน	hǒoy-hǔan
ห้อยโหน	hɔ̂y-hǒon
โหยไห้	hǒoy-hây
โหยหา	hǒoy-hǎa
ห้อย	hɔ̂y
โหย	hǒoy
หดตัว	hòt-tua
หดกลับ	hòt-klàp
หดหู่ใจ	hòt-hùu-cay
หดหู่	hòt-hùu
หดหัว	hòt-hǔa
หดหาย	hòt-hǎay
หด	hòt
โหระพา	hǒo-rá-phaa
โหราศาสตร์	hǒo-raa-sàat
โหราจารย์	hǒo-raa-caan
หอยสังข์	hɔ̌ɔy-sǎng
หอยนางรม	hɔ̌ɔy-naang-rom
หอยโข่ง	hɔ̌ɔy-khòong
หอย	hɔ̌ɔy
โหดร้าย	hòot-ráay
โหดเหี้ยม	hòot-hîam
โฮเต็ล	hoo-ten
โหด	hòot
หอศิลป์	hɔ̌ɔ-sǐn
หอสมุด	hɔ̌ɔ-sa-mùt
โห่ร้อง	hòo-rɔ́ɔng
หอระฆัง	hɔ̌ɔ-rá-khang
หรดี	hɔ̌ɔ-ra-dii
หอประชุม	hɔ̌ɔ-prà-chum
หอบหืด	hɔ̀ɔp-hʉ̀ʉt
หอบหิ้ว	hɔ̀ɔp-hîw
หอพัก	hɔ̌ɔ-phák
หอบ	hɔ̀ɔp
หอนาฬิกา	hɔ̌ɔ-naa-lí-kaa
หอน	hɔ̌ɔn
โฮมเพจ	hoom phêet
หอมปากหอมคอ	hɔ̌ɔm-pàak-hɔ̌ɔm-khɔɔ
ฮอร์โมนเพศชาย	hɔɔ-moon-phêet-chaay
ฮอร์โมน	hɔɔ-moon
ห่อหมก	hɔ̀ɔ-mòk
ห้อมล้อม	hɔ̂ɔm-lɔ́ɔm
หอมกรุ่น	hɔ̌ɔm-krùn
หอมหวน	hɔ̌ɔm-hǔan
หอมฉุย	hɔ̌ɔm-chǔy
ห้อม	hɔ̂ɔm
หอม	hɔ̌ɔm
ห้อเลือด	hɔ̂ɔ-lʉ̂at
หอกซัด	hɔ̀ɔk-sát
หอคอย	hɔ̌ɔ-khɔɔy
ห่อของขวัญ	hɔ̀ɔ-khɔ̌ɔng-khwǎn
หอคำ	hɔ̌ɔ-kham
โฮกฮาก	hôok-hâak
หอก	hɔ̀ɔk
โฮก	hôok
ห่อหุ้ม	hɔ̀ɔ-hûm
ห่อเหี่ยว	hɔ̀ɔ-hìaw
หอจดหมายเหตุ	hɔ̌ɔ-còt-mǎay-hèet
หอบังคับการ	hɔ̌ɔ-bang-kháp-kaan
ฮ้อ	hɔ́ɔ
ห่อ	hɔ̀ɔ
ห้อ	hɔ̂ɔ
หอ	hɔ̌ɔ
โห่	hòo
โฮ	hoo
หนทาง	hǒn-thaang
หนหน้า	hǒn-nâa
หนหลัง	hǒn-lǎng
ห้องเย็น	hɔ̂ng-yen
ห้องทดลอง	hɔ̂ng-thót-lɔɔng
ห้องโถง	hɔ̂ng-thǒong
ห้องแถว	hɔ̂ng-thɛ̌w
ห้องทำงาน	hɔ̂ng-tham-ngaan
ห้องแต่งตัว	hɔ̂ng-tɛ̀ng-tua
ฮ่องเต้	hɔ̂ng-têe
ห้องใต้หลังคา	hɔ̂ng-tây-lǎng-khaa
ห้องใต้ดิน	hɔ̂ng-tây-din
ห้องส่วนตัว	hɔ̂ng-sùan-tua
ห้องส้วม	hɔ̂ng-sûam
ห้องสมุดประชาชน	hɔ̂ng-sà-mùt-prà-chaa-chon
ห้องสมุด	hɔ̂ng-sa-mùt
ห้องเรียน	hɔ̂ng-rian
ห้องรับแขก	hɔ̂ng-ráp-khɛ̀ɛk
ห้องประชุม	hɔ̂ng-prà-chum
โหงพราย	hǒong-phraay
ห้องพัก	hɔ̂ng-phák
ห้องปฏิบัติการวิจัย	hɔ̂ng-pa-tì-bàt-kaan-wí-cay
ห้องปฏิบัติการ	hɔ̂ng-pa-tì-bàt-kaan
ห้องนอน	hɔ̂ng-nɔɔn
ห้องนั่งเล่น	hɔ̂ng-nâng-lên
ห้องน้ำ	hɔ̂ng-náam
ห้องมืด	hɔ̂ng-mʉ̂ʉt
ฮ่องกง	hɔ̂ng-kong
ห้องกินข้าว	hɔ̂ng-kin-khâaw
ห้องครัว	hɔ̂ng-khrua
ห้องเครื่อง	hɔ̂ng-khrʉ̂ang
ห้องขัง	hɔ̂ng-khǎng
ห้องเก็บของ	hɔ̂ng-kèp-khɔ̌ɔng
ห้องหับ	hɔ̂ng-hàp
ห้องชุด	hɔ̂ng-chút
ห้องเช่า	hɔ̂ng-châw
ห้องบรรยาย	hɔ̂ng-ban-yaay
ห้องอาบน้ำ	hɔ̂ng-àap-náam
ห้องอาหาร	hɔ̂ng-aa-hǎan
ห้อง	hɔ̂ng
โหง	hǒong
หงส์	hǒng
โหน	hǒon
โหร	hǒon
หน	hǒn
โหมโรง	hǒom-roong
โหมแรง	hǒom-rɛɛng
โหมกระหน่ำ	hǒom-krà-nàm
ห่มดอง	hòm-dɔɔng
โหม	hǒom
ห่ม	hòm
หกโล่	hòk-lôo
หกล้ม	hòk-lóm
หกเหลี่ยม	hòk-lìam
หกกลับ	hòk-klàp
ฮอกกี้	hɔ́k-kîi
ฮกเกี้ยน	hók-kîan
หกคว่ำ	hòk-khwâm
หกคะเมน	hòk-khá-meen
หก	hòk
เหาะ	hɔ̀
หึงหวง	hʉ̌ng-hǔang
หึ่งๆ	hʉ̀ng-hʉ̀ng
หึ่ง	hʉ̀ng
หึง	hʉ̌ng
หื่น	hʉ̀ʉn
หืน	hʉ̌ʉn
ฮึ่ม	hʉ̂m
ฮึกโหม	hʉ́k-hǒom
ฮึกเหิม	hʉ́k-hə̌əm
ฮึกฮัก	hʉ́k-hák
ฮึกห้าว	hʉ́k-hâaw
ฮึกหาญ	hʉ́k-hǎan
ฮึก	hʉ́k
หิ้วท้อง	hîw-thɔ́ɔng
หิวโซ	hǐw-soo
หิวข้าว	hǐw-khâaw
หิวโหย	hǐw-hǒoy
หิวจัด	hǐw-càt
หิว	hǐw
หิ้ว	hîw
ฮิสทีเรีย	hít-thii-ria
ฮิจเราะห์	hít-rɔ́
หิด	hìt
ฮิต	hít
หิริโอตตัปปะ	hì-rì-òot-tàp-pà
หิริ	hì-rí
ฮิปโปโปเตมัส	híp-poo-poo-tee-mát
ฮิปโป	híp-poo
ฮิปปี้	hîp-pîi
หินย้อย	hǐn-yɔ́ɔy
หินตะกอน	hǐn-tà-kɔɔn
หินโสโครก	hǐn-sǒo-khrôok
หินสบู่	hǐn-sa-bùu
หินทราย	hǐn-saay
หินปูน	hǐn-puun
หินแปร	hǐn-prɛɛ
หินอ่อน	hǐn-ɔ̀ɔn
หินหนืด	hǐn-nʉ̀ʉt
หินงอก	hǐn-ngɔ̂ɔk
หินชาติ	hǐn-na-châat
หินน้ำมัน	hǐn-náam-man
หินลูกรัง	hǐn-lûuk-rang
หินเหล็กไฟ	hǐn-lèk-fay
หินแลง	hǐn-lɛɛng
หินลับมีด	hǐn-láp-mîit
หินขัด	hǐn-khàt
หิงสา	hǐng-sǎa
หิ่งห้อย	hìng-hɔ̂y
หิ้ง	hîng
ฮินดู	hin-duu
หินดินสอพอง	hǐn-din-sɔ̌ɔ-phɔɔng
หินดินดาน	hǐn-din-daan
หินชนวน	hǐn-cha-nuan
หินชั้น	hǐn-chán
หินอัคนี	hǐn-àk-kha-nii
หิน	hǐn
หิมะ	hì-má
ฮีโร่	hii-rôo
หีบศพ	hìip-sòp
หีบเสียง	hìip-sǐang
หีบเพลง	hìip-phleeng
หีบห่อ	hìip-hɔ̀ɔ
หีบ	hìip
หีนยาน	hǐin-na-yaan
หี	hǐi
ฮี้	híi
เหี่ยวแห้ง	hìaw-hɛ̂ng
เหี่ยวเฉา	hìaw-chǎw
เหี่ยว	hìaw
เหียนราก	hǐan-râak
เหียน	hǐan
เหี้ยน	hîan
เฮี้ยน	hían
เหี้ยมเกรียม	hîam-kriam
เหี้ยมโหด	hîam-hòot
เหี้ยมหาญ	hîam-hǎan
เหี้ยม	hîam
เหี้ย	hîa
เฮีย	hia
ฮือฮา	hʉʉ-haa
หึๆ	hʉ̀-hʉ̀
แห้วหมู	hɛ̂w-mǔu
แห้ว	hɛ̂w
เห็ด	hèt
เห็บ	hèp
เห็นแย้ง	hěn-yɛ́ɛng
เห็นทีจะ	hěn-thii-cà
เห็นที	hěn-thii
เห็นท่า	hěn-thâa
เห็นสมควร	hěn-sǒm-khuan
เห็นพ้องต้องกัน	hěn-phɔ́ɔng-tɔ̂ng-kan
เห็นพ้อง	hěn-phɔ́ɔng
เห็นอกเห็นใจ	hěn-òk-hěn-cay
เห็นคุณค่า	hěn-khun-khâa
เห็นควร	hěn-khuan
เห็นแก่ตัว	hěn-kɛ̀ɛ-tua
เห็นแก่หน้า	hěn-kɛ̀ɛ-nâa
เห็นแก่ได้	hěn-kɛ̀ɛ-dâay
เห็นแก่	hěn-kɛ̀ɛ
เห็นกับตา	hěn-kàp-taa
เฮงซวย	heng-suay
แห้งผาก	hɛ̂ng-phàak
